NUTS_ID_2013,urban_rural
AT111,rur
AT112,rur
AT113,rur
AT121,rur
AT122,int
AT123,rur
AT124,rur
AT125,rur
AT126,urb
AT127,int
AT130,urb
AT211,int
AT212,rur
AT213,rur
AT221,int
AT222,rur
AT223,int
AT224,rur
AT225,rur
AT226,rur
AT311,rur
AT312,int
AT313,rur
AT314,rur
AT315,rur
AT321,rur
AT322,rur
AT323,int
AT331,rur
AT332,urb
AT333,rur
AT334,rur
AT335,rur
AT341,rur
AT342,urb
BE100,urb
BE211,urb
BE212,urb
BE213,int
BE221,urb
BE222,int
BE223,int
BE231,urb
BE232,urb
BE233,int
BE234,int
BE235,int
BE236,urb
BE241,urb
BE242,int
BE251,int
BE252,int
BE253,int
BE254,urb
BE255,int
BE256,int
BE257,int
BE258,int
BE310,int
BE321,rur
BE322,urb
BE323,urb
BE324,urb
BE325,int
BE326,int
BE327,rur
BE331,rur
BE332,urb
BE334,rur
BE335,int
BE336,rur
BE341,rur
BE342,rur
BE343,rur
BE344,rur
BE345,rur
BE351,rur
BE352,int
BE353,rur
BG311,rur
BG312,int
BG313,int
BG314,int
BG315,int
BG321,int
BG322,int
BG323,int
BG324,rur
BG325,rur
BG331,int
BG332,int
BG333,int
BG334,rur
BG341,int
BG342,int
BG343,int
BG344,int
BG411,urb
BG412,rur
BG413,int
BG414,int
BG415,int
BG421,int
BG422,int
BG423,int
BG424,rur
BG425,rur
CH011,urb
CH012,int
CH013,urb
CH021,int
CH022,int
CH023,urb
CH024,int
CH025,rur
CH031,urb
CH032,urb
CH033,urb
CH040,urb
CH051,int
CH052,urb
CH053,int
CH054,int
CH055,urb
CH056,rur
CH057,int
CH061,int
CH062,int
CH063,int
CH064,int
CH065,int
CH066,int
CH070,urb
CY000,int
CZ010,urb
CZ020,urb
CZ031,rur
CZ032,rur
CZ041,int
CZ042,int
CZ051,int
CZ052,int
CZ053,rur
CZ063,rur
CZ064,int
CZ071,int
CZ072,int
CZ080,int
DE111,urb
DE112,urb
DE113,urb
DE114,urb
DE115,urb
DE116,urb
DE117,int
DE118,int
DE119,rur
DE11A,rur
DE11B,rur
DE11C,int
DE11D,int
DE121,urb
DE122,urb
DE123,urb
DE124,urb
DE125,urb
DE126,urb
DE127,rur
DE128,urb
DE129,int
DE12A,rur
DE12B,int
DE12C,rur
DE131,int
DE132,int
DE133,int
DE134,int
DE135,rur
DE136,int
DE137,int
DE138,int
DE139,int
DE13A,int
DE141,int
DE142,int
DE143,int
DE144,int
DE145,int
DE146,rur
DE147,int
DE148,int
DE149,rur
DE211,int
DE212,urb
DE213,int
DE214,int
DE215,int
DE216,int
DE217,int
DE218,int
DE219,int
DE21A,rur
DE21B,int
DE21C,int
DE21D,int
DE21E,rur
DE21F,int
DE21G,rur
DE21H,urb
DE21I,rur
DE21J,int
DE21K,int
DE21L,int
DE21M,rur
DE21N,int
DE221,rur
DE222,rur
DE223,rur
DE224,rur
DE225,rur
DE226,rur
DE227,rur
DE228,rur
DE229,rur
DE22A,rur
DE22B,rur
DE22C,rur
DE231,int
DE232,int
DE233,rur
DE234,int
DE235,rur
DE236,rur
DE237,rur
DE238,int
DE239,rur
DE23A,rur
DE241,int
DE242,int
DE243,int
DE244,int
DE245,int
DE246,int
DE247,int
DE248,int
DE249,int
DE24A,rur
DE24B,rur
DE24C,rur
DE24D,rur
DE251,rur
DE252,urb
DE253,urb
DE254,urb
DE255,urb
DE256,rur
DE257,urb
DE258,urb
DE259,int
DE25A,rur
DE25B,int
DE25C,rur
DE261,urb
DE262,int
DE263,int
DE264,urb
DE265,rur
DE266,rur
DE267,rur
DE268,rur
DE269,int
DE26A,rur
DE26B,int
DE26C,int
DE271,urb
DE272,int
DE273,int
DE274,rur
DE275,int
DE276,urb
DE277,rur
DE278,rur
DE279,int
DE27A,int
DE27B,int
DE27C,rur
DE27D,rur
DE27E,int
DE300,urb
DE401,int
DE402,int
DE403,int
DE404,int
DE405,int
DE406,int
DE407,rur
DE408,int
DE409,int
DE40A,int
DE40B,int
DE40C,int
DE40D,rur
DE40E,int
DE40F,rur
DE40G,int
DE40H,int
DE40I,rur
DE501,urb
DE502,int
DE600,urb
DE711,urb
DE712,urb
DE713,urb
DE714,urb
DE715,urb
DE716,urb
DE717,urb
DE718,urb
DE719,int
DE71A,urb
DE71B,rur
DE71C,urb
DE71D,int
DE71E,int
DE721,int
DE722,int
DE723,int
DE724,int
DE725,rur
DE731,int
DE732,int
DE733,rur
DE734,int
DE735,rur
DE736,rur
DE737,rur
DE803,int
DE804,rur
DE80J,rur
DE80K,int
DE80L,rur
DE80M,rur
DE80N,rur
DE80O,rur
DE911,int
DE912,int
DE913,int
DE914,int
DE915,int
DE916,int
DE917,rur
DE918,rur
DE919,int
DE91A,int
DE91B,int
DE922,int
DE923,int
DE925,int
DE926,rur
DE927,rur
DE928,int
DE929,urb
DE931,int
DE932,int
DE933,int
DE934,rur
DE935,int
DE936,int
DE937,rur
DE938,int
DE939,int
DE93A,rur
DE93B,int
DE941,urb
DE942,int
DE943,int
DE944,int
DE945,int
DE946,int
DE947,int
DE948,rur
DE949,rur
DE94A,int
DE94B,int
DE94C,int
DE94D,int
DE94E,int
DE94F,int
DE94G,int
DE94H,rur
DEA11,urb
DEA12,urb
DEA13,urb
DEA14,urb
DEA15,urb
DEA16,urb
DEA17,urb
DEA18,urb
DEA19,urb
DEA1A,urb
DEA1B,int
DEA1C,urb
DEA1D,urb
DEA1E,urb
DEA1F,urb
DEA22,urb
DEA23,urb
DEA24,urb
DEA26,int
DEA27,urb
DEA28,int
DEA29,int
DEA2A,int
DEA2B,urb
DEA2C,urb
DEA2D,urb
DEA31,urb
DEA32,urb
DEA33,urb
DEA34,int
DEA35,urb
DEA36,urb
DEA37,int
DEA38,int
DEA41,urb
DEA42,urb
DEA43,urb
DEA44,rur
DEA45,int
DEA46,int
DEA47,int
DEA51,urb
DEA52,urb
DEA53,urb
DEA54,urb
DEA55,urb
DEA56,urb
DEA57,int
DEA58,urb
DEA59,int
DEA5A,int
DEA5B,int
DEA5C,urb
DEB11,int
DEB12,int
DEB13,rur
DEB14,int
DEB15,rur
DEB16,rur
DEB17,int
DEB18,int
DEB19,rur
DEB1A,int
DEB1B,rur
DEB21,int
DEB22,rur
DEB23,rur
DEB24,rur
DEB25,int
DEB31,urb
DEB32,int
DEB33,urb
DEB34,urb
DEB35,urb
DEB36,int
DEB37,rur
DEB38,urb
DEB39,urb
DEB3A,int
DEB3B,rur
DEB3C,int
DEB3D,rur
DEB3E,urb
DEB3F,int
DEB3G,rur
DEB3H,int
DEB3I,urb
DEB3J,int
DEB3K,rur
DEC01,urb
DEC02,int
DEC03,urb
DEC04,urb
DEC05,int
DEC06,int
DED21,urb
DED2C,rur
DED2D,int
DED2E,int
DED2F,urb
DED41,int
DED42,int
DED43,int
DED44,int
DED45,int
DED51,urb
DED52,urb
DED53,rur
DEE01,int
DEE02,int
DEE03,int
DEE04,rur
DEE05,int
DEE06,rur
DEE07,int
DEE08,rur
DEE09,int
DEE0A,rur
DEE0B,int
DEE0C,int
DEE0D,rur
DEE0E,rur
DEF01,int
DEF02,urb
DEF03,int
DEF04,int
DEF05,rur
DEF06,int
DEF07,rur
DEF08,int
DEF09,urb
DEF0A,urb
DEF0B,int
DEF0C,int
DEF0D,int
DEF0E,int
DEF0F,int
DEG01,int
DEG02,int
DEG03,int
DEG04,int
DEG05,int
DEG06,rur
DEG07,int
DEG09,rur
DEG0A,rur
DEG0B,int
DEG0C,rur
DEG0D,int
DEG0E,rur
DEG0F,rur
DEG0G,int
DEG0H,rur
DEG0I,int
DEG0J,int
DEG0K,rur
DEG0L,int
DEG0M,int
DEG0N,rur
DEG0P,rur
DK011,urb
DK012,urb
DK013,int
DK014,rur
DK021,int
DK022,rur
DK031,int
DK032,int
DK041,rur
DK042,int
DK050,rur
EE001,urb
EE004,rur
EE006,rur
EE007,int
EE008,rur
EL301,urb
EL302,urb
EL303,urb
EL304,urb
EL305,urb
EL306,urb
EL307,urb
EL411,rur
EL412,rur
EL413,int
EL421,int
EL422,rur
EL431,int
EL432,rur
EL433,rur
EL434,int
EL511,int
EL512,int
EL513,rur
EL514,int
EL515,rur
EL521,int
EL522,urb
EL523,rur
EL524,rur
EL525,int
EL526,rur
EL527,rur
EL531,rur
EL532,int
EL533,rur
EL541,rur
EL542,rur
EL543,rur
EL611,rur
EL612,int
EL613,int
EL621,rur
EL622,int
EL623,rur
EL624,rur
EL631,rur
EL632,int
EL633,rur
EL641,rur
EL642,rur
EL643,rur
EL644,rur
EL645,rur
EL651,rur
EL652,int
EL653,rur
ES111,int
ES112,rur
ES113,rur
ES114,int
ES120,int
ES130,int
ES211,urb
ES212,urb
ES213,urb
ES220,int
ES230,int
ES241,int
