NUTS,perc,urt,class
BE100,-0.8,1,3
BE211,3.1,1,2
BE212,6.2,1,1
BE213,5.6,2,5
BE223,4.1,2,5
BE224,,1,
BE225,,2,
BE231,8.3,1,1
BE232,5.2,1,2
BE233,7.5,2,4
BE234,5.0,2,5
BE235,4.4,2,5
BE236,6.9,1,1
BE241,7.1,1,1
BE242,5.8,2,5
BE251,4.9,2,5
BE252,3.2,2,5
BE253,1.6,2,5
BE254,4.5,1,2
BE255,8.0,2,4
BE256,6.7,2,4
BE257,3.6,2,5
BE258,9.4,2,4
BE310,5.5,2,5
BE323,2.1,1,2
BE328,,2,
BE329,,1,
BE32A,,3,
BE32B,,1,
BE32C,,2,
BE32D,,3,
BE331,4.8,3,8
BE332,2.2,1,2
BE334,8.4,3,7
BE335,0.8,2,5
BE336,3.5,3,8
BE341,6.8,3,7
BE342,8.7,3,7
BE343,4.7,3,8
BE344,5.4,3,8
BE345,3.1,3,8
BE351,6.1,3,7
BE352,4.2,2,5
BE353,3.4,3,8
BG311,-5.9,3,9
BG312,-3.2,2,6
BG313,-5.9,2,6
BG314,-4.4,2,6
BG315,-1.9,2,6
BG321,-3.1,2,6
BG322,-2.0,2,6
BG323,-1.4,2,6
BG324,-3.9,3,9
BG325,-2.0,3,9
BG331,2.7,2,5
BG332,-2.7,2,6
BG333,2.7,2,5
BG334,-0.8,3,9
BG341,2.7,2,5
BG342,-5.5,2,6
BG343,-3.7,2,6
BG344,0.0,2,5
BG411,1.0,1,2
BG412,10.3,3,7
BG413,-3.2,2,6
BG414,3.9,2,5
BG415,-1.8,2,6
BG421,3.4,2,5
BG422,-1.3,2,6
BG423,-2.9,2,6
BG424,-8.9,3,9
BG425,13.6,3,7
CZ010,7.8,1,1
CZ020,9.3,1,1
CZ031,2.0,3,8
CZ032,5.3,3,8
CZ041,-1.0,2,6
CZ042,0.1,2,5
CZ051,1.3,2,5
CZ052,0.5,2,5
CZ053,2.3,3,8
CZ063,-0.2,3,9
CZ064,2.5,2,5
CZ071,-0.5,2,6
CZ072,-0.4,2,6
CZ080,-1.9,2,6
DK011,3.7,1,2
DK012,3.5,1,2
DK013,6.1,2,4
DK014,6.6,3,7
DK021,6.7,2,4
DK022,5.5,3,8
DK031,4.4,2,5
DK032,1.7,2,5
DK041,0.5,3,8
DK042,5.8,2,5
DK050,2.6,3,8
DE111,2.7,1,2
DE112,6.6,1,1
DE113,5.3,1,2
DE114,7.1,1,1
DE115,4.8,1,2
DE116,5.8,1,2
DE117,8.9,2,4
DE118,8.1,2,4
DE119,6.5,3,7
DE11A,7.9,3,7
DE11B,5.8,3,8
DE11C,7.2,2,4
DE11D,4.6,2,5
DE121,11.7,1,1
DE122,4.7,1,2
DE123,7.4,1,1
DE124,7.3,1,1
DE125,1.9,1,2
DE126,5.8,1,2
DE127,5.4,3,8
DE128,5.5,1,2
DE129,9.3,2,4
DE12A,9.0,3,7
DE12B,6.1,2,4
DE12C,6.4,3,7
DE131,3.6,2,5
DE132,7.8,2,4
DE133,7.8,2,4
DE134,7.9,2,4
DE135,6.3,3,7
DE136,7.1,2,4
DE137,8.4,2,4
DE138,7.3,2,4
DE139,4.8,2,5
DE13A,8.0,2,4
DE141,6.0,2,4
DE142,5.4,2,5
DE143,5.7,2,5
DE144,6.4,2,4
DE145,7.4,2,4
DE146,8.9,3,7
DE147,7.4,2,4
DE148,5.9,2,5
DE149,5.0,3,8
DE211,5.3,2,5
DE212,2.4,1,2
DE213,5.8,2,5
DE214,8.3,2,4
DE215,7.8,2,4
DE216,6.9,2,4
DE217,8.7,2,4
DE218,10.1,2,4
DE219,5.4,2,5
DE21A,7.1,3,7
DE21B,6.8,2,4
DE21C,6.2,2,4
DE21D,7.5,2,4
DE21E,6.9,3,7
DE21F,7.5,2,4
DE21G,11.2,3,7
DE21H,7.8,1,1
DE21I,7.4,3,7
DE21J,9.2,2,4
DE21K,7.7,2,4
DE21L,7.1,2,4
DE21M,7.6,3,7
DE21N,7.2,2,4
DE221,14.6,3,7
DE222,11.6,3,7
DE223,9.0,3,7
DE224,7.9,3,7
DE225,4.8,3,8
DE226,9.6,3,7
DE227,9.7,3,7
DE228,9.3,3,7
DE229,6.2,3,7
DE22A,8.2,3,7
DE22B,7.2,3,7
DE22C,7.5,3,7
DE231,6.7,2,4
DE232,9.9,2,4
DE233,6.8,3,7
DE234,2.9,2,5
DE235,5.8,3,8
DE236,8.5,3,7
DE237,1.5,3,8
DE238,6.5,2,4
DE239,8.0,3,7
DE23A,2.4,3,8
DE241,11.5,2,4
DE242,9.5,2,4
DE243,3.9,2,5
DE244,8.2,2,4
DE245,4.3,2,5
DE246,2.7,2,5
DE247,4.3,2,5
DE248,4.9,2,5
DE249,3.8,2,5
DE24A,2.3,3,8
DE24B,3.5,3,8
DE24C,5.2,3,8
DE24D,5.0,3,8
DE251,8.4,3,7
DE252,8.6,1,1
DE253,8.4,1,1
DE254,5.4,1,2
