NUTS,perc,urt,class
BE100,14.8,1,1
BE211,8.7,1,1
BE212,6.5,1,1
BE213,-0.1,2,5
BE223,-2.9,2,5
BE224,,1,
BE225,,2,
BE231,3.4,1,1
BE232,-0.9,1,2
BE233,0.5,2,4
BE234,5.2,2,4
BE235,-0.7,2,5
BE236,4.8,1,1
BE241,5.0,1,1
BE242,3.5,2,4
BE251,-5.2,2,5
BE252,0.7,2,4
BE253,-5.8,2,5
BE254,0.6,1,1
BE255,-4.1,2,5
BE256,0.6,2,4
BE257,-3.0,2,5
BE258,-7.2,2,5
BE310,4.4,2,4
BE323,3.5,1,1
BE328,-2.1,2,5
BE329,,1,
BE32A,,3,
BE32B,,1,
BE32C,,2,
BE32D,,3,
BE331,1.0,3,7
BE332,-0.1,1,2
BE334,4.6,3,7
BE335,-0.1,2,5
BE336,8.6,3,7
BE341,0.5,3,7
BE342,1.8,3,7
BE343,-5.2,3,8
BE344,0.1,3,7
BE345,5.9,3,7
BE351,-2.6,3,8
BE352,3.1,2,4
BE353,-8.0,3,8
BG311,-42.4,3,9
BG312,-34.0,2,6
BG313,-36.2,2,6
BG314,-32.8,2,6
BG315,-33.4,2,6
BG321,-28.5,2,6
BG322,-37.6,2,6
BG323,-23.4,2,6
BG324,-30.4,3,9
BG325,-29.9,3,9
BG331,-9.5,2,5
BG332,-29.3,2,6
BG333,-19.0,2,6
BG334,-25.0,3,9
BG341,-11.8,2,6
BG342,-16.4,2,6
BG343,-26.9,2,6
BG344,-19.3,2,6
BG411,0.0,1,1
BG412,-28.7,3,9
BG413,-26.0,2,6
BG414,-31.1,2,6
BG415,-37.7,2,6
BG421,-10.7,2,6
BG422,-22.4,2,6
BG423,-25.9,2,6
BG424,-44.9,3,9
BG425,-3.2,3,8
CZ010,11.8,1,1
CZ020,12.3,1,1
CZ031,-2.8,3,8
CZ032,3.7,3,7
CZ041,-16.3,2,6
CZ042,-7.9,2,5
CZ051,-2.6,2,5
CZ052,-7.6,2,5
CZ053,-1.8,3,8
CZ063,-7.8,3,8
CZ064,-1.9,2,5
CZ071,-9.3,2,5
CZ072,-8.8,2,5
CZ080,-13.1,2,6
DK011,9.9,1,1
DK012,2.2,1,1
DK013,-0.1,2,5
DK014,-9.6,3,8
DK021,3.8,2,4
DK022,1.2,3,7
DK031,4.4,2,4
DK032,0.1,2,4
DK041,-1.7,3,8
DK042,12.5,2,4
DK050,4.5,3,7
DE111,5.0,1,1
DE112,2.3,1,1
DE113,0.9,1,1
DE114,-0.9,1,2
DE115,1.0,1,1
DE116,-0.8,1,2
DE117,3.4,2,4
DE118,0.4,2,4
DE119,-0.2,3,8
DE11A,0.6,3,7
DE11B,-0.9,3,8
DE11C,-0.5,2,5
DE11D,11.7,2,4
DE121,-8.6,1,2
DE122,37.8,1,1
DE123,-2.1,1,2
DE124,-3.3,1,2
DE125,19.1,1,1
DE126,11.9,1,1
DE127,-3.8,3,8
DE128,-3.8,1,2
DE129,3.0,2,4
DE12A,-4.0,3,8
DE12B,-3.7,2,5
DE12C,-1.1,3,8
DE131,3.2,2,4
DE132,-2.7,2,5
DE133,-3.7,2,5
DE134,-0.8,2,5
DE135,-1.4,3,8
DE136,0.2,2,4
DE137,4.7,2,4
DE138,-3.2,2,5
DE139,0.0,2,4
DE13A,-0.8,2,5
DE141,0.8,2,4
DE142,-0.3,2,5
DE143,23.3,2,4
DE144,0.5,2,4
DE145,0.9,2,4
DE146,2.5,3,7
DE147,-4.0,2,5
DE148,0.7,2,4
DE149,7.9,3,7
DE211,3.7,2,4
DE212,11.8,1,1
DE213,2.3,2,4
DE214,0.6,2,4
DE215,-1.6,2,5
DE216,1.9,2,4
DE217,2.3,2,4
DE218,-0.7,2,5
DE219,6.7,2,4
DE21A,3.8,3,7
DE21B,6.3,2,4
DE21C,2.4,2,4
DE21D,-3.5,2,5
DE21E,-1.4,3,8
DE21F,-1.9,2,5
DE21G,0.6,3,7
DE21H,-0.7,1,2
DE21I,2.7,3,7
DE21J,2.1,2,4
DE21K,-1.0,2,5
DE21L,-3.3,2,5
DE21M,-1.9,3,8
DE21N,-2.3,2,5
DE221,-1.0,3,8
DE222,-7.8,3,8
DE223,-1.7,3,8
DE224,0.6,3,7
DE225,-4.7,3,8
DE226,8.1,3,7
DE227,1.0,3,7
DE228,-4.8,3,8
DE229,-3.6,3,8
DE22A,-1.7,3,8
DE22B,0.3,3,7
DE22C,4.8,3,7
DE231,-4.4,2,5
DE232,2.8,2,4
DE233,-6.0,3,8
DE234,-1.0,2,5
DE235,-3.1,3,8
DE236,0.8,3,7
DE237,-1.8,3,8
DE238,0.4,2,4
DE239,-2.2,3,8
DE23A,-5.4,3,8
DE241,3.8,2,4
DE242,-11.4,2,6
DE243,-5.6,2,5
DE244,-6.2,2,5
DE245,-1.7,2,5
DE246,-7.3,2,5
DE247,-7.5,2,5
DE248,-2.1,2,5
DE249,-11.3,2,6
DE24A,-7.0,3,8
DE24B,-7.8,3,8
DE24C,-4.9,3,8
DE24D,-10.5,3,9
DE251,-1.2,3,8
DE252,2.7,1,1
DE253,1.9,1,1
DE254,4.2,1,1
DE255,-1.4,1,2
DE256,-1.0,3,8
DE257,-2.5,1,2
DE258,15.2,1,1
DE259,-5.8,2,5
DE25A,-2.3,3,8
DE25B,-1.3,2,5
DE25C,-2.3,3,8
DE261,-2.4,1,2
DE262,1.2,2,4
DE263,-4.1,2,5
DE264,-3.9,1,2
DE265,-6.9,3,8
DE266,-5.2,3,8
DE267,-0.7,3,8
DE268,-0.3,3,8
DE269,-2.3,2,5
DE26A,-4.2,3,8
DE26B,-3.4,2,5
DE26C,-1.8,2,5
DE271,2.2,1,1
DE272,-5.3,2,5
DE273,-2.3,2,5
DE274,-0.1,3,8
DE275,-0.1,2,5
DE276,-2.7,1,2
DE277,0.4,3,7
DE278,1.6,3,7
DE279,-0.3,2,5
DE27A,-3.0,2,5
DE27B,0.3,2,4
DE27C,-0.9,3,8
DE27D,4.5,3,7
DE27E,-2.3,2,5
DE300,9.0,1,1
DE401,-8.4,2,5
DE402,-21.9,2,6
DE403,-29.4,2,6
DE404,-2.8,2,5
DE405,35.9,2,4
DE406,-5.1,2,5
DE407,-16.0,3,9
DE408,-5.1,2,5
DE409,-7.5,2,5
DE40A,-4.8,2,5
DE40B,-27.6,2,6
DE40C,-17.5,2,6
DE40D,-11.2,3,9
DE40E,-12.5,2,6
DE40F,-14.3,3,9
DE40G,-26.3,2,6
DE40H,0.5,2,4
DE40I,-25.3,3,9
DE501,7.0,1,1
DE502,1.3,2,4
DE600,7.6,1,1
DE711,1.0,1,1
DE712,10.2,1,1
DE713,13.4,1,1
DE714,4.9,1,1
DE715,-5.5,1,2
DE716,-1.1,1,2
DE717,3.7,1,1
DE718,-6.2,1,2
DE719,-2.6,2,5
DE71A,-2.7,1,2
DE71B,-4.6,3,8
DE71C,-0.2,1,2
DE71D,-7.8,2,5
DE71E,-5.3,2,5
DE721,55.4,2,4
DE722,-5.0,2,5
DE723,-4.5,2,5
DE724,-1.2,2,5
