NUTS,perc,urt,class
BE100,6.6,1,1
BE211,2.0,1,1
BE212,0.2,1,1
BE213,0.4,2,4
BE223,-0.4,2,5
BE224,,1,
BE225,,2,
BE231,-1.2,1,2
BE232,-0.9,1,2
BE233,-1.6,2,5
BE234,1.1,2,4
BE235,-1.3,2,5
BE236,0.9,1,1
BE241,1.2,1,1
BE242,-0.3,2,5
BE251,-3.1,2,5
BE252,-0.3,2,5
BE253,-1.2,2,5
BE254,-0.1,1,2
BE255,-4.4,2,6
BE256,0.0,2,4
BE257,-0.3,2,5
BE258,-6.7,2,6
BE310,0.3,2,4
BE323,-1.4,1,2
BE328,-2.3,2,5
BE329,,1,
BE32A,,3,
BE32B,,1,
BE32C,,2,
BE32D,,3,
BE331,-1.2,3,8
BE332,-0.7,1,2
BE334,-1.3,3,8
BE335,0.2,2,4
BE336,0.2,3,7
BE341,2.3,3,7
BE342,2.3,3,7
BE343,-0.5,3,8
BE344,0.6,3,7
BE345,0.2,3,7
BE351,-1.0,3,8
BE352,-0.1,2,5
BE353,-2.3,3,8
BG311,-17.4,3,9
BG312,-14.4,2,6
BG313,-11.7,2,6
BG314,-10.9,2,6
BG315,-12.5,2,6
BG321,-9.5,2,6
BG322,-13.9,2,6
BG323,-9.9,2,6
BG324,-9.6,3,9
BG325,-9.8,3,9
BG331,-4.0,2,5
BG332,-9.1,2,6
BG333,-7.6,2,6
BG334,-8.6,3,9
BG341,-4.5,2,6
BG342,-3.4,2,5
BG343,-9.1,2,6
BG344,-7.6,2,6
BG411,-2.0,1,2
BG412,-10.0,3,9
BG413,-4.6,2,6
BG414,-12.9,2,6
BG415,-13.7,2,6
BG421,-5.7,2,6
BG422,-8.9,2,6
BG423,-7.0,2,6
BG424,-9.8,3,9
BG425,-4.2,3,9
CZ010,1.9,1,1
CZ020,0.9,1,1
CZ031,-0.3,3,8
CZ032,-0.7,3,8
CZ041,-2.4,2,5
CZ042,-1.6,2,5
CZ051,0.0,2,4
CZ052,-0.7,2,5
CZ053,-0.2,3,8
CZ063,-0.1,3,8
CZ064,0.6,2,4
CZ071,-0.9,2,5
CZ072,-1.1,2,5
CZ080,-1.6,2,5
DK011,9.1,1,1
DK012,1.1,1,1
DK013,-1.4,2,5
DK014,-7.7,3,9
DK021,0.5,2,4
DK022,-3.3,3,8
DK031,-0.7,2,5
DK032,-0.1,2,5
DK041,0.4,3,7
DK042,3.0,2,4
DK050,-0.4,3,8
DE111,2.0,1,1
DE112,1.4,1,1
DE113,0.0,1,1
DE114,-1.5,1,2
DE115,1.0,1,1
DE116,-0.6,1,2
DE117,-0.1,2,5
DE118,0.3,2,4
DE119,-0.5,3,8
DE11A,-0.3,3,8
DE11B,-2.8,3,8
DE11C,-2.2,2,5
DE11D,-1.3,2,5
DE121,-5.3,1,3
DE122,-0.2,1,2
DE123,-1.6,1,2
DE124,-2.0,1,2
DE125,2.4,1,1
DE126,-0.4,1,2
DE127,-2.9,3,8
DE128,-1.3,1,2
DE129,-0.2,2,5
DE12A,-1.2,3,8
DE12B,-1.1,2,5
DE12C,-1.8,3,8
DE131,2.8,2,4
DE132,-0.1,2,5
DE133,-0.5,2,5
DE134,-1.2,2,5
DE135,-1.2,3,8
DE136,-1.8,2,5
DE137,0.1,2,4
DE138,-0.8,2,5
DE139,-1.0,2,5
DE13A,-2.1,2,5
DE141,-0.4,2,5
DE142,2.1,2,4
DE143,-2.6,2,5
DE144,1.2,2,4
DE145,0.4,2,4
DE146,1.1,3,7
DE147,-0.8,2,5
DE148,0.4,2,4
DE149,-0.9,3,8
DE211,2.0,2,4
DE212,4.3,1,1
DE213,1.4,2,4
DE214,-1.9,2,5
DE215,-2.5,2,5
DE216,-0.4,2,5
DE217,1.0,2,4
DE218,0.8,2,4
DE219,2.2,2,4
DE21A,1.5,3,7
DE21B,2.5,2,4
DE21C,0.4,2,4
DE21D,-3.1,2,5
DE21E,0.0,3,7
DE21F,-1.7,2,5
DE21G,-2.1,3,8
DE21H,0.3,1,1
DE21I,-0.1,3,8
DE21J,0.8,2,4
DE21K,-1.4,2,5
DE21L,-1.3,2,5
DE21M,-2.4,3,8
DE21N,-1.1,2,5
DE221,-1.6,3,8
DE222,-3.6,3,8
DE223,-3.4,3,8
DE224,-2.6,3,8
DE225,-3.9,3,8
DE226,-0.1,3,8
DE227,0.3,3,7
DE228,-3.0,3,8
DE229,-4.0,3,8
DE22A,-3.2,3,8
