NUTS,perc,urt,class
BE100,20.9,1,3
BE211,32.9,1,3
BE212,35.1,1,2
BE213,35.2,2,5
BE223,36.9,2,5
BE224,35.7,1,2
BE225,35.3,2,5
BE231,35.3,1,2
BE232,35.6,1,2
BE233,38.3,2,5
BE234,32.0,2,6
BE235,35.9,2,5
BE236,35.0,1,2
BE241,33.1,1,3
BE242,35.0,2,5
BE251,45.4,2,4
BE252,36.8,2,5
BE253,39.3,2,5
BE254,37.3,1,2
BE255,50.6,2,4
BE256,36.3,2,5
BE257,35.9,2,5
BE258,66.1,2,4
BE310,34.0,2,6
BE323,32.0,1,3
BE328,33.8,2,6
BE329,33.0,1,3
BE32A,32.3,3,9
BE32B,32.2,1,3
BE32C,31.4,2,6
BE32D,35.7,3,8
BE331,31.0,3,9
BE332,32.9,1,3
BE334,32.0,3,9
BE335,33.0,2,6
BE336,33.9,3,9
BE341,25.6,3,9
BE342,26.8,3,9
BE343,32.5,3,9
BE344,31.4,3,9
BE345,30.8,3,9
BE351,33.7,3,9
BE352,31.6,2,6
BE353,34.5,3,9
BG311,55.9,3,7
BG312,47.9,2,4
BG313,43.3,2,4
BG314,47.9,2,4
BG315,49.5,2,4
BG321,41.2,2,4
BG322,52.7,2,4
BG323,40.5,2,4
BG324,37.6,3,8
BG325,43.3,3,7
BG331,31.9,2,6
BG332,38.7,2,5
BG333,37.2,2,5
BG334,37.8,3,8
BG341,34.0,2,6
BG342,36.7,2,5
BG343,44.0,2,4
BG344,39.4,2,5
BG411,27.9,1,3
BG412,39.8,3,8
BG413,33.1,2,6
BG414,43.4,2,4
BG415,49.3,2,4
BG421,35.0,2,5
BG422,40.2,2,4
BG423,35.8,2,5
BG424,42.7,3,7
BG425,35.2,3,8
CZ010,31.0,1,3
CZ020,31.7,1,3
CZ031,35.6,3,8
CZ032,34.7,3,9
CZ041,34.9,2,6
CZ042,33.8,2,6
CZ051,35.2,2,5
CZ052,38.1,2,5
CZ053,35.0,3,8
CZ063,35.3,3,8
CZ064,34.2,2,6
CZ071,35.9,2,5
CZ072,35.8,2,5
CZ080,34.3,2,6
DK011,17.6,1,3
DK012,32.8,1,3
DK013,44.1,2,4
DK014,58.3,3,7
DK021,37.2,2,5
DK022,44.4,3,7
DK031,38.7,2,5
DK032,39.7,2,5
DK041,40.3,3,7
DK042,31.5,2,6
DK050,39.1,3,8
DE111,28.0,1,3
DE112,33.9,1,3
DE113,34.4,1,3
DE114,37.0,1,2
DE115,33.4,1,3
DE116,36.0,1,2
DE117,32.1,2,6
DE118,32.5,2,6
DE119,33.0,3,9
DE11A,32.7,3,9
DE11B,39.6,3,8
DE11C,37.8,2,5
DE11D,35.2,2,5
DE121,45.6,1,1
DE122,29.1,1,3
DE123,36.2,1,2
DE124,37.2,1,2
DE125,25.7,1,3
DE126,28.8,1,3
DE127,37.3,3,8
DE128,37.1,1,2
DE129,33.7,2,6
DE12A,35.9,3,8
DE12B,36.6,2,5
DE12C,35.5,3,8
DE131,26.1,2,6
DE132,38.6,2,5
DE133,36.6,2,5
DE134,36.1,2,5
DE135,36.3,3,8
DE136,38.6,2,5
DE137,33.3,2,6
DE138,35.5,2,5
DE139,34.9,2,6
DE13A,37.1,2,5
DE141,35.3,2,5
DE142,28.7,2,6
DE143,37.8,2,5
DE144,29.7,2,6
DE145,32.9,2,6
DE146,31.8,3,9
DE147,39.6,2,5
DE148,33.9,2,6
DE149,35.2,3,8
DE211,29.9,2,6
DE212,26.9,1,3
DE213,33.0,2,6
DE214,37.7,2,5
DE215,40.5,2,4
DE216,36.7,2,5
DE217,30.7,2,6
DE218,31.2,2,6
DE219,29.6,2,6
DE21A,27.7,3,9
DE21B,25.3,2,6
DE21C,37.3,2,5
DE21D,43.9,2,4
DE21E,34.1,3,9
DE21F,38.6,2,5
DE21G,33.4,3,9
DE21H,34.9,1,3
DE21I,32.3,3,9
DE21J,30.0,2,6
DE21K,36.9,2,5
DE21L,41.0,2,4
DE21M,39.3,3,8
DE21N,37.9,2,5
DE221,33.3,3,9
DE222,34.3,3,9
DE223,35.2,3,8
