geo,value
FRF24,1.3
FRF31,1.6
FRF32,1.4
FRF33,1.7
FRF34,2
FRG01,0.8
FRG02,0.7
FRG03,1.2
FRG04,1
FRG05,1.1
FRH01,2.3
FRH02,2.4
FRH03,1.1
FRH04,2
FRI11,3.3
FRI12,2.1
FRI13,3.7
FRI14,4.4
FRI15,6.3
FRI21,2.3
FRI22,1.2
FRI23,1.7
FRI31,1.8
FRI32,0.9
FRI33,0.9
FRI34,0.9
FRJ11,5
FRJ12,5
FRJ13,4.5
FRJ14,2.5
FRJ15,7
FRJ21,6.5
FRJ22,3.2
FRJ23,4
FRJ24,4.5
FRJ25,2.2
FRJ26,6.9
FRJ27,4.5
FRJ28,3.7
FRK11,1.2
FRK12,2.4
FRK13,2.4
FRK14,1.9
FRK21,3.5
FRK22,5.2
FRK23,5.7
FRK24,5.3
FRK25,2.3
FRK26,4.8
FRK27,8.6
FRK28,6.9
FRL01,5.7
FRL02,7.4
FRL03,9.9
FRL04,2.1
FRL05,4.6
FRL06,4.8
FRM01,6.8
FRM02,7.6
HR031,10.4
HR032,5.4
HR033,3.8
HR034,3.2
HR035,5.6
HR036,6.7
HR037,13.6
HR041,3.9
HR042,3.6
HR043,8.9
HR044,3.3
HR045,2.5
HR046,1.7
HR047,2.6
HR048,1.6
HR049,2.9
HR04A,1.6
HR04B,1.3
HR04C,1.2
HR04D,5.7
HR04E,2.5
ITC11,8.1
ITC12,4.6
ITC13,10.5
ITC14,20.2
ITC15,4.5
ITC16,11.4
ITC17,20.7
ITC18,12.3
ITC20,13.3
ITC31,19
ITC32,23.4
ITC33,27.5
ITC34,23.3
ITC41,13.8
ITC42,20.8
ITC43,21.8
ITC44,19.4
ITC46,13
ITC47,6.9
ITC48,7.6
ITC49,2.2
ITC4A,2.1
ITC4B,2.4
ITC4C,4
ITC4D,7.5
ITH10,12.6
ITH20,16.6
ITH31,7.6
ITH32,10.8
ITH33,13.5
ITH34,7.3
ITH35,4.3
ITH36,4.6
ITH37,2.6
ITH41,6.6
ITH42,10.2
ITH43,8
ITH44,15.7
ITH51,11.5
ITH52,11.6
ITH53,8.2
ITH54,8.3
ITH55,8
ITH56,1.5
ITH57,3.5
ITH58,11.5
ITH59,11.8
ITI11,20.2
ITI12,16.3
ITI13,15.1
ITI14,16.9
ITI15,15.1
ITI16,7.6
ITI17,15.9
ITI18,9.7
ITI19,13.7
ITI1A,9.1
ITI21,15.1
ITI22,16.6
ITI31,17.9
ITI32,15.3
ITI33,15.6
ITI34,17.5
ITI35,18.5
ITI41,9.5
ITI42,15
ITI43,11
ITI44,10.2
ITI45,15.7
ITF11,7.1
ITF12,14.6
ITF13,13.3
ITF14,13.9
ITF21,13.3
ITF22,12.6
ITF31,11
ITF32,19.2
ITF33,12.4
ITF34,21.1
ITF35,20.1
ITF43,1.8
ITF44,1.3
ITF45,1
ITF46,5.8
ITF47,2
ITF48,3.8
ITF51,14.1
ITF52,9.5
ITF61,23.2
ITF62,26.1
ITF63,26.5
ITF64,26.9
ITF65,26.7
ITG11,10.4
ITG12,18.1
ITG13,28.4
ITG14,14.1
ITG15,12.4
ITG16,14.3
ITG17,10.9
ITG18,6.4
ITG19,7.2
ITG25,6.4
ITG26,6.9
ITG27,4.6
ITG28,3.3
ITG29,5.1
ITG2A,9.1
ITG2B,3.4
ITG2C,3.4
CY000,3.5
LV003,0.8
LV005,0.5
LV006,0.3
LV007,0.8
LV008,0.7
LV009,0.7
LT011,0.8
LT021,0.8
LT022,0.9
LT023,0.7
LT024,0.8
LT025,0.7
LT026,0.7
LT027,0.9
LT028,0.9
LT029,0.7
LU000,3.4
HU110,2
HU120,2.1
HU211,2.3
HU212,3.2
HU213,2.3
HU221,1
HU222,1.8
HU223,4.1
HU231,4.9
HU232,3.9
HU233,4.2
HU311,3.3
HU312,2.5
HU313,4.8
HU321,1.1
HU322,0.9
HU323,1.1
HU331,0.9
HU332,0.9
HU333,0.8
MT001,4.6
MT002,5.4
NL111,0.3
NL112,0.3
NL113,0.2
NL124,0.2
NL125,0.2
NL126,0.1
NL131,0.2
NL132,0.2
NL133,0.1
NL211,0.2
NL212,0.2
NL213,0.2
NL221,0.2
NL224,0.2
NL225,0.2
NL226,0.3
NL230,0.5
NL310,0.1
NL321,0.4
NL323,0.3
NL324,0.2
NL325,0.2
NL327,0.2
NL328,0.3
NL329,0.3
NL332,0.3
NL333,0.5
NL337,0.3
NL33A,0.2
NL33B,0.2
NL33C,0.5
NL341,0.6
NL342,0.5
NL411,0.5
NL412,0.3
NL413,0.2
NL414,0.3
NL421,0.4
NL422,0.6
NL423,1.6
AT111,3.1
AT112,1.2
AT113,4.9
AT121,6.1
AT122,6.5
AT123,4.8
AT124,3.1
AT125,2.2
AT126,1.7
AT127,1.4
AT130,2.1
AT211,15
AT212,21
AT213,12.5
AT221,7.9
AT222,12
AT223,10.7
AT224,9.4
AT225,8.5
AT226,13.3
AT311,4.2
AT312,5.3
AT313,4.4
AT314,7.4
AT315,5.5
AT321,15.8
AT322,10.3
AT323,4.5
AT331,7.5
AT332,10.2
AT333,14
AT334,11.4
AT335,7.4
AT341,8.1
AT342,5
PL213,2.8
PL214,5.4
PL217,4.1
PL218,8.2
PL219,5.5
PL21A,4.7
PL224,1.4
PL225,4.9
PL227,2.3
PL228,1.5
PL229,1.6
PL22A,1.7
PL22B,2.3
PL22C,1.6
PL411,0.6
PL414,0.5
PL415,0.6
PL416,0.6
PL417,0.6
PL418,0.6
PL424,0.6
PL426,0.9
PL427,0.8
PL428,0.7
PL431,0.7
PL432,0.8
PL514,0.5
PL515,2.9
PL516,1
PL517,3.5
PL518,1
PL523,1.7
PL524,1.1
PL613,0.7
PL616,0.9
PL617,0.6
PL618,0.8
PL619,0.6
PL621,1.1
PL622,1.1
PL623,1
PL633,0.7
PL634,0.9
PL636,1.1
PL637,0.8
PL638,0.9
PL711,1.1
PL712,0.9
PL713,1
PL714,0.7
PL715,0.7
PL721,2.5
PL722,2.2
PL811,0.7
PL812,2.4
PL814,1.9
PL815,1.8
PL821,6
PL822,3.8
PL823,4.6
PL824,1.8
PL841,0.9
PL842,0.8
PL843,0.8
PL911,0.5
PL912,0.7
PL913,0.6
PL921,1
PL922,0.7
PL923,0.7
PL924,0.6
PL925,0.9
PL926,0.7
PT111,9.3
PT112,6.4
PT119,8.4
PT11A,7.9
PT11B,4.2
PT11C,14.1
PT11D,7.8
PT11E,3.5
PT150,2.9
PT16B,4.5
PT16D,3.1
PT16E,2.9
PT16F,2.2
PT16G,5.4
PT16H,1.7
PT16I,1.8
PT16J,2.6
PT170,2.4
PT181,1.5
PT184,1.8
PT185,1.4
PT186,1.5
PT187,1.3
RO111,4
RO112,7.6
RO113,7.8
RO114,5.6
RO115,2.7
RO116,7.3
RO121,7.6
RO122,3.9
RO123,3.4
RO124,5.4
RO125,7.6
RO126,6
RO211,7.4
RO212,6.3
RO213,7
RO214,5.6
RO215,5.5
RO216,8.5
RO221,0.8
RO222,3.3
RO223,2.3
RO224,4.3
RO225,2.4
RO226,3.7
RO311,3.6
RO312,1.1
RO313,2.3
RO314,1.2
RO315,1
RO316,4.2
RO317,1.4
RO321,1.3
RO322,1.4
RO411,2.4
RO412,5.1
RO413,4.7
RO414,2
RO415,6.2
RO421,2.3
RO422,5.8
RO423,6.5
RO424,2.1
SI031,3.9
SI032,7.7
SI033,18.2
SI034,18.3
SI035,24.2
SI036,14.6
SI037,14.4
SI038,10.7
SI041,14.2
SI042,24.5
SI043,35.6
SI044,15.5
SK010,1.3
SK021,1.6
SK022,5.3
SK023,2.2
SK031,5.2
SK032,5.1
SK041,6.1
SK042,3.3
FI193,0.4
FI194,0.4
FI195,0.3
FI196,0.3
FI197,0.5
FI1B1,0.6
FI1C1,0.4
FI1C2,0.4
FI1C3,0.4
FI1C4,0.3
FI1C5,0.3
FI1D1,0.3
FI1D2,0.4
FI1D3,0.3
FI1D5,0.3
FI1D7,0.2
FI1D8,0.3
FI1D9,0.2
FI200,0.7
SE110,1
SE121,0.8
SE122,1.1
SE123,0.8
SE124,1.1
SE125,1
SE211,0.7
SE212,0.4
SE213,0.4
SE214,0.3
SE221,0.6
SE224,0.6
SE231,1.1
SE232,1.2
SE311,1.9
SE312,1.6
SE313,1.2
SE321,2
SE322,2
SE331,1.6
SE332,1.3
UKC11,0.6
UKC12,1.5
UKC13,0.6
UKC14,1.3
UKC21,0.9
UKC22,1
UKC23,1.3
UKD11,2.4
UKD12,2.2
UKD33,0.4
UKD34,0.5
UKD35,2.4
UKD36,1.5
UKD37,3.3
UKD41,3.9
UKD42,0.4
UKD44,1.5
UKD45,1.9
UKD46,3.4
UKD47,0.8
UKD61,0.6
UKD62,0.9
UKD63,0.6
UKD71,0.8
UKD72,0.6
UKD73,0.4
UKD74,0.6
UKE11,0.3
UKE12,0.8
UKE13,0.5
UKE21,0.2
UKE22,1.2
UKE31,0.9
UKE32,2
UKE41,1.8
UKE42,1
UKE44,2.4
UKE45,1
UKF11,0.4
UKF12,1.4
UKF13,1.4
UKF14,0.5
UKF15,0.6
UKF16,0.6
UKF21,0.4
UKF22,0.7
UKF24,0.6
UKF25,0.6
UKF30,0.4
UKG11,1.5
UKG12,0.7
UKG13,0.5
UKG21,0.6
UKG22,1.3
UKG23,0.9
UKG24,0.8
UKG31,0.7
UKG32,0.4
UKG33,0.5
UKG36,1
UKG37,0.7
UKG38,0.8
UKG39,0.8
UKH11,0.2
UKH12,0.2
UKH14,0.2
UKH15,0.3
UKH16,0.2
UKH17,0.2
UKH21,1.1
UKH23,0.7
UKH24,0.5
UKH25,0.5
UKH31,0.3
UKH32,0.3
UKH34,0.3
UKH35,0.4
UKH36,0.3
UKH37,0.3
UKI31,0
UKI32,0
UKI33,0
UKI34,0.1
UKI41,0
UKI42,0
UKI43,0
UKI44,0
UKI45,0
UKI51,0.3
UKI52,0.3
UKI53,0.3
UKI54,0.8
UKI61,1
UKI62,1.2
UKI63,0.4
UKI71,0.7
UKI72,0
UKI73,0.2
UKI74,0.4
UKI75,0.1
UKJ11,0.7
UKJ12,0.5
UKJ13,0.6
UKJ14,0.5
UKJ21,2.1
UKJ22,1
UKJ25,0.6
UKJ26,0.6
UKJ27,1
UKJ28,0.7
UKJ31,2.1
UKJ32,0.4
UKJ34,1.4
UKJ35,0.5
UKJ36,0.9
UKJ37,0.8
UKJ41,0.5
UKJ43,0.6
UKJ44,0.8
UKJ45,0.7
UKJ46,0.8
UKK11,1.1
UKK12,1.1
UKK13,0.9
UKK14,0.6
UKK15,0.9
UKK21,0.4
UKK22,1.4
UKK23,1.8
UKK30,2.9
UKK41,2.8
UKK42,3.4
UKK43,2.9
UKL11,0.8
UKL12,3.9
UKL13,3.6
UKL14,3.3
UKL15,5.4
UKL16,5.3
UKL17,4.7
UKL18,2.3
UKL21,2.5
UKL22,1.4
UKL23,1.7
UKL24,5.5
UKM50,0.9
UKM61,1.5
UKM62,1.6
UKM63,6.6
UKM64,1.4
UKM65,0.5
UKM66,0.9
UKM71,0.9
UKM72,1
UKM73,1
UKM75,0.9
UKM76,0.8
UKM77,2.7
UKM78,0.8
UKM81,5
UKM82,1
UKM83,2.4
UKM84,1.2
UKM91,1.6
UKM92,2.1
UKM93,2.3
UKM94,2.7
UKM95,2.2
UKN06,2.9
UKN07,0.5
UKN08,1
UKN09,0.7
UKN10,1.1
UKN11,0.5
UKN12,0.8
UKN13,0.7
UKN14,0.7
UKN15,1
UKN16,0.7
